ax,ay,az,gx,gy,gz,avm,pressure
1.1206,-0.0513,-0.0879,-23.415,-12.561,6.28,1.1252,100744.01
0.9951,-0.0693,-0.043,-29.573,-5.366,6.707,0.9985,100743.55
0.8965,-0.0869,-0.0303,-27.5,4.329,1.037,0.9012,100743.7
0.9487,-0.0713,-0.0815,-14.146,2.012,-3.171,0.9549,100742.84
0.9858,-0.0791,-0.1328,-10.0,9.268,-5.61,0.9979,100743.03
0.959,-0.0859,-0.1655,0.061,16.402,-1.22,0.977,100744.06
0.8643,-0.1016,-0.1641,10.061,21.646,9.329,0.8855,100742.99
0.8369,-0.1421,-0.1724,15.793,25.244,10.976,0.8662,100742.42
0.895,-0.1045,-0.1738,22.378,14.329,2.927,0.9177,100743.02
0.9287,-0.0801,-0.2231,11.341,5.61,-4.085,0.9585,100743.19
0.9648,-0.1221,-0.1655,8.72,-7.622,2.134,0.9865,100743.09
1.0,-0.1011,-0.2148,3.902,-10.244,-8.415,1.0278,100742.66
1.0908,-0.0439,-0.2163,9.207,-17.683,-13.415,1.1129,100743.41
1.0366,-0.0166,-0.1108,18.049,-4.634,-10.061,1.0427,100742.91
1.1543,-0.043,0.0625,25.671,5.183,-14.329,1.1568,100742.88
1.1431,0.0122,0.0312,12.439,-15.366,-12.317,1.1436,100743.48
1.0742,0.0474,-0.0889,-16.89,-25.854,-4.146,1.0789,100743.18
0.9663,0.042,-0.1963,-4.085,-4.817,2.073,0.9869,100744.33
0.9932,0.061,-0.0234,16.463,5.549,-2.5,0.9953,100744.7
0.9951,0.0171,-0.1372,-3.78,-0.732,-3.78,1.0047,100743.87
0.8291,0.0088,-0.2412,-6.585,3.11,4.024,0.8635,100743.84
0.7158,0.0356,-0.1641,5.976,7.439,5.976,0.7352,100744.08
0.8081,0.0342,-0.1631,1.28,3.293,-0.976,0.8251,100744.13
0.9434,0.0239,-0.2607,-2.622,-1.22,-0.915,0.979,100743.59
0.9995,0.0562,-0.3315,17.134,7.134,22.5,1.0546,100742.99
1.041,0.0229,-0.2026,12.5,4.024,15.854,1.0608,100743.35
1.1851,-0.0278,-0.2358,-10.61,-19.329,6.829,1.2086,100743.73
1.1147,-0.085,-0.3428,-17.195,-20.854,9.329,1.1693,100744.25
1.1118,-0.126,0.0518,9.573,-0.183,5.915,1.1201,100744.3
1.125,-0.1206,0.2065,-15.671,-0.244,-0.427,1.1501,100743.22
0.9844,-0.1055,-0.0332,-51.524,-14.451,1.22,0.9906,100743.26
0.8081,-0.0913,-0.1064,-42.378,-4.024,1.585,0.8202,100743.43
0.8125,-0.0522,-0.0439,-26.463,4.268,-8.902,0.8154,100743.91
0.9619,-0.0537,-0.1875,-29.634,-4.634,-17.744,0.9815,100744.16
0.9663,-0.0425,-0.2544,-12.744,2.5,-10.061,1.0001,100743.24
0.7891,-0.0229,-0.2163,10.244,17.073,3.415,0.8185,100743.78
0.7197,-0.0366,-0.0586,25.183,21.341,2.988,0.723,100743.68
0.8965,-0.0854,-0.043,14.512,26.646,-6.22,0.9016,100743.73
0.9658,-0.0811,-0.1372,1.28,25.122,-3.598,0.9789,100744.63
0.937,-0.0688,-0.2285,-1.89,20.793,-3.598,0.9669,100744.48
1.0728,-0.0645,-0.3286,-2.317,10.549,-12.561,1.1238,100743.51
1.1758,-0.0664,-0.3979,4.695,-2.439,-11.585,1.2431,100743.01
1.2354,-0.021,-0.3594,16.22,-15.061,-3.049,1.2867,100743.27
1.1543,0.0146,-0.3384,31.829,-16.463,4.024,1.203,100744.81
1.2573,-0.0063,0.0474,65.732,-2.134,-2.561,1.2582,100744.85
1.2339,-0.0044,0.2051,40.244,-13.78,-2.683,1.2508,100743.78
1.0986,0.0454,-0.0278,3.049,-31.951,2.012,1.0999,100743.6
0.8735,0.0381,0.0791,7.439,14.695,1.89,0.8779,100743.22
0.7417,-0.0161,-0.0723,-11.037,4.939,3.171,0.7454,100743.91
0.7744,-0.0151,-0.04,-10.976,8.232,0.793,0.7756,100743.85
0.8188,0.0063,-0.1406,-25.976,9.573,5.244,0.8309,100742.94
0.7573,0.0112,-0.3335,-25.732,-1.159,10.305,0.8276,100744.09
0.9204,0.0386,-0.3379,-0.305,3.78,6.707,0.9812,100743.2
1.002,0.0942,-0.269,12.866,6.098,12.073,1.0417,100742.68
1.0347,0.0859,-0.3398,4.512,-3.232,15.976,1.0924,100742.66
1.1099,0.043,-0.2476,4.268,6.159,11.707,1.1379,100743.1
1.2222,-0.0034,-0.2241,-7.805,-14.634,9.756,1.2426,100743.33
1.1963,-0.0249,-0.2046,-15.427,-25.488,16.341,1.2139,100742.41
1.0708,-0.0444,-0.105,-15.854,-18.476,16.951,1.0769,100742.59
1.1084,-0.0903,-0.0225,-18.415,-20.366,1.768,1.1123,100741.99
1.1724,-0.1118,-0.0488,-25.0,-6.646,-3.78,1.1787,100742.28
0.9961,-0.127,0.0112,-19.695,10.671,4.329,1.0042,100741.76
0.7925,-0.1167,0.0889,-17.683,14.085,5.793,0.8059,100742.74
0.771,-0.1025,0.041,-29.39,11.22,-7.317,0.7789,100742.36
1.0122,-0.1328,-0.0972,-35.427,8.537,-19.329,1.0255,100741.95
1.019,-0.126,-0.208,-26.159,13.11,-4.146,1.0477,100742.39
0.7334,-0.0825,-0.2041,-2.5,30.122,16.28,0.7657,100742.47
0.7192,-0.0703,-0.0767,14.268,32.439,11.341,0.7267,100742.16
0.9292,-0.0845,-0.1123,4.085,15.915,2.073,0.9398,100742.44
0.9385,-0.0684,-0.2744,-1.707,10.732,6.463,0.9802,100742.52
0.9224,-0.04,-0.3433,8.963,11.585,-1.037,0.985,100743.41
1.2393,-0.1128,-0.1543,32.317,1.951,-12.317,1.2539,100743.94
1.123,-0.0801,0.0308,16.098,-9.817,-4.878,1.1263,100743.79
1.061,-0.0542,-0.1748,-15.793,-27.744,-11.89,1.0767,100743.3
1.2681,-0.1147,-0.1104,3.049,-22.439,-25.244,1.278,100744.41
1.2383,-0.0708,0.0288,6.402,-16.159,-13.841,1.2406,100744.02
0.9541,-0.0049,-0.1406,-6.89,-22.439,0.061,0.9644,100743.86
0.9707,-0.0239,-0.0288,21.28,-9.085,-4.939,0.9714,100743.61
