ax,ay,az,gx,gy,gz,avm,pressure
0.9902,-0.2012,-0.1362,1.341,-6.951,-0.793,1.0196,100758.55
0.9712,-0.1953,-0.1211,2.073,-2.561,-2.073,0.998,100758.79
0.9683,-0.1895,-0.1147,2.988,-8.354,-1.463,0.9933,100758.61
0.9775,-0.1919,-0.1333,1.402,-17.134,-2.012,1.0051,100758.62
0.957,-0.1836,-0.1484,0.427,-12.5,-2.988,0.9857,100759.34
0.9531,-0.1748,-0.1343,0.549,8.171,-1.402,0.9783,100760.14
0.9722,-0.1982,-0.0894,2.805,17.439,1.159,0.9962,100759.63
1.0059,-0.1904,-0.1562,-1.28,-3.415,-2.317,1.0356,100759.71
0.9976,-0.1641,-0.1567,-6.159,-2.988,-2.866,1.023,100760.02
0.9834,-0.1919,-0.1138,-2.256,-6.951,0.732,1.0084,100759.65
0.9858,-0.2017,-0.146,5.61,-15.122,0.61,1.0168,100759.38
1.0308,-0.2124,-0.126,7.988,-10.183,-0.61,1.0599,100759.06
1.0645,-0.229,-0.127,5.793,-20.183,-5.549,1.0962,100758.45
1.1099,-0.2012,-0.1709,1.951,-25.061,-8.232,1.1408,100758.84
1.0674,-0.1831,-0.1914,7.866,-17.683,-5.976,1.0998,100758.53
1.0137,-0.187,-0.1738,14.146,-10.305,-3.659,1.0453,100758.8
0.9922,-0.1597,-0.1235,17.927,-7.927,3.049,1.0125,100758.26
0.8672,-0.1724,-0.1323,13.659,-14.512,9.817,0.894,100758.23
0.856,-0.1738,-0.1665,7.683,-5.732,10.61,0.8892,100758.06
0.8647,-0.1753,-0.1523,11.037,4.634,8.598,0.8954,100758.19
0.8911,-0.168,-0.1963,8.598,7.256,8.171,0.9278,100758.15
0.915,-0.1919,-0.1758,5.732,20.671,5.244,0.9513,100759.12
0.9629,-0.2051,-0.1499,8.415,47.378,2.012,0.9958,100759.34
1.0547,-0.1836,-0.1616,6.28,50.61,0.427,1.0827,100759.77
0.9487,-0.1641,-0.1631,-3.537,22.927,-22.439,0.9765,100758.79
0.8765,-0.1309,-0.0601,8.354,20.183,-35.488,0.8882,100759.09
1.0513,-0.1079,-0.0176,-0.976,-5.427,-40.732,1.0569,100759.72
1.0786,-0.1187,-0.1226,-13.171,-29.085,-23.049,1.092,100759.31
0.8281,-0.1465,-0.1694,-5.671,-6.829,-4.146,0.8579,100759.63
0.8154,-0.1533,-0.002,6.707,10.671,-8.902,0.8297,100759.63
0.9702,-0.1519,0.0835,-0.549,0.183,-11.951,0.9856,100759.02
0.9209,-0.1567,-0.0215,-7.622,7.927,-2.5,0.9344,100759.29
0.9355,-0.1416,0.0884,-4.939,11.768,-3.72,0.9503,100759.02
1.061,-0.1104,0.1631,-25.122,-19.024,-10.061,1.0792,100759.52
1.0659,-0.082,-0.04,-55.244,-38.659,-4.207,1.0698,100759.05
0.9624,-0.0605,-0.1426,-53.293,-24.939,-2.195,0.9748,100758.7
1.0752,-0.0137,-0.2119,-37.622,-8.598,-8.354,1.096,100758.19
1.1143,-0.0005,-0.2832,-17.134,17.439,0.244,1.1497,100757.19
1.0547,-0.0479,-0.2104,8.963,47.195,6.89,1.0765,100757.27
1.0527,-0.0591,-0.1133,24.573,44.024,2.866,1.0605,100758.21
0.917,-0.0469,-0.0615,29.451,23.963,5.305,0.9202,100758.38
0.814,-0.0625,-0.0649,30.488,5.061,2.012,0.8189,100758.54
1.0171,-0.0693,0.1016,33.902,-14.146,-10.366,1.0245,100758.66
1.0386,-0.0776,0.0981,19.939,3.963,-2.378,1.0461,100758.98
0.9644,-0.0737,0.0542,8.537,9.756,0.183,0.9687,100758.12
1.0625,-0.0225,-0.0098,-2.927,-27.683,-10.427,1.0628,100757.47
1.04,0.0298,-0.105,-8.659,-17.5,-2.805,1.0457,100757.34
1.0029,-0.0034,-0.1592,10.366,-8.841,8.841,1.0155,100758.87
1.0322,-0.0557,-0.0356,31.768,27.805,17.927,1.0343,100759.35
0.8921,-0.0728,0.043,38.049,20.488,26.585,0.8961,100759.21
0.9111,-0.0874,0.1299,29.146,10.671,17.561,0.9245,100758.98
1.061,-0.0742,0.0952,1.524,-11.829,3.598,1.0679,100758.95
1.0176,-0.0537,-0.0864,-32.073,-26.524,4.207,1.0227,100758.53
0.9277,-0.0757,-0.1836,-35.854,-19.695,8.293,0.9487,100758.2
0.9937,-0.0996,-0.1562,-13.049,-10.854,6.829,1.0108,100758.7
0.9897,-0.1406,-0.0254,5.183,2.073,5.366,1.0,100758.55
1.0303,-0.1436,-0.0698,-3.659,-2.134,-1.098,1.0426,100758.59
1.0669,-0.1401,-0.1406,-10.854,-0.61,2.927,1.0852,100758.13
0.9512,-0.1362,-0.1396,-1.159,-8.415,11.707,0.971,100758.51
0.8979,-0.1118,-0.1455,4.695,-22.622,9.024,0.9165,100757.92
0.96,-0.1313,-0.1157,5.549,-26.646,2.805,0.9758,100758.23
0.8237,-0.1553,0.167,3.476,-17.378,0.183,0.8547,100759.18
0.9434,-0.1011,-0.0083,-55.732,-13.598,-31.098,0.9488,100758.42
1.1147,-0.0352,-0.4951,-53.72,2.195,-21.098,1.2203,100757.71
0.9644,-0.063,-0.2163,-10.122,19.817,-2.805,0.9903,100757.91
0.9189,-0.0952,-0.0913,-16.22,0.61,-9.268,0.9284,100756.84
1.0503,-0.085,-0.1943,-18.659,-5.488,-10.244,1.0715,100756.86
1.0229,-0.103,-0.0962,-9.817,14.817,-0.366,1.0326,100756.53
0.9854,-0.1157,-0.1421,-10.183,9.329,-2.683,1.0022,100756.26
1.0371,-0.0479,-0.1626,-1.463,2.927,-5.305,1.0509,100756.42
0.9829,-0.0601,-0.1118,-0.366,16.28,-1.707,0.9911,100756.06
1.0356,-0.0215,-0.1436,4.146,3.902,-8.659,1.0458,100756.95
0.9424,-0.0552,-0.0908,1.159,14.085,-2.073,0.9484,100757.34
0.9873,-0.0654,-0.0928,0.305,9.268,-5.671,0.9938,100757.01
0.9331,-0.0552,-0.0869,2.012,3.171,-6.524,0.9388,100757.15
0.9976,-0.0312,-0.0972,6.22,23.232,-7.134,1.0028,100757.52
1.082,-0.0278,-0.0791,14.817,25.793,2.988,1.0853,100757.43
0.998,-0.0322,-0.0469,15.915,5.122,8.902,0.9997,100758.19
0.9761,-0.0566,0.0283,12.561,4.207,7.927,0.9781,100758.3
0.9971,-0.0464,0.0332,6.341,7.439,7.012,0.9987,100758.75
0.9868,-0.04,-0.0181,-2.5,10.427,2.927,0.9878,100757.62
1.0024,-0.0278,-0.0474,-2.988,3.598,-4.024,1.0039,100757.99
1.0225,-0.0171,-0.0273,-2.195,-4.085,-4.939,1.023,100758.91
0.9941,-0.0293,-0.043,-1.951,-1.646,-2.622,0.9955,100758.24
0.9971,-0.0239,-0.0249,1.524,-0.976,-2.012,0.9977,100758.38
0.9951,-0.0332,-0.0098,3.171,0.183,-0.976,0.9957,100758.69
0.9941,-0.0269,-0.0293,3.537,-7.5,-2.5,0.9949,100758.8
0.9922,-0.0215,-0.0488,4.573,-8.963,-1.707,0.9936,100759.02
0.9824,-0.0215,-0.0376,4.207,-8.11,-1.402,0.9834,100759.57
0.9932,-0.0229,-0.0234,2.439,-2.988,-0.854,0.9937,100758.89
0.9961,-0.0244,-0.0156,2.073,-1.463,-0.122,0.9965,100759.08
0.9946,-0.0171,-0.0347,1.829,-4.878,-0.061,0.9954,100758.87
1.0215,-0.0244,-0.02,-1.037,-5.305,1.402,1.022,100758.34
0.9863,-0.0537,-0.0049,-2.561,-3.78,3.232,0.9878,100758.66
0.9751,-0.042,-0.0693,-0.305,-14.207,0.732,0.9785,100758.68
1.0103,-0.0381,-0.0991,-1.341,-18.963,-1.89,1.0158,100758.57
1.0239,-0.0425,-0.1177,-1.951,-33.171,-1.28,1.0315,100758.11
0.9868,-0.021,-0.1719,-0.976,-52.195,2.683,1.0019,100758.25
0.9727,-0.022,-0.1782,1.646,-47.378,3.476,0.9891,100757.79
0.9634,-0.0283,-0.2007,2.744,-32.683,2.5,0.9845,100757.29
1.0015,-0.0303,-0.2026,6.951,-13.963,3.415,1.0222,100757.16
0.9961,-0.0371,-0.1685,4.817,-7.988,6.402,1.0109,100757.3
0.9453,-0.0571,-0.1904,-1.707,-1.951,8.232,0.966,100757.27
0.9565,-0.0542,-0.2124,-2.5,2.195,4.512,0.9813,100757.99
0.978,-0.0415,-0.2061,-2.378,2.256,2.317,1.0004,100758.05
0.979,-0.0376,-0.2002,-5.122,4.634,2.134,1.0,100757.58
0.9707,-0.0347,-0.2075,-6.159,10.549,3.11,0.9932,100757.99
0.9878,-0.0356,-0.1953,-2.378,9.329,3.902,1.0075,100757.45
0.999,-0.0488,-0.1753,0.0,11.89,5.488,1.0155,100757.66
0.9756,-0.0586,-0.1729,0.854,18.171,6.037,0.9925,100758.27
0.9673,-0.0635,-0.1719,2.012,12.622,4.085,0.9845,100758.66
1.0044,-0.0659,-0.1494,1.159,10.305,3.293,1.0176,100759.55
1.0239,-0.0742,-0.1626,-3.537,14.634,4.756,1.0394,100759.2
0.9839,-0.0894,-0.1348,-4.756,19.878,7.805,0.9971,100758.27
0.96,-0.0879,-0.1133,0.915,11.89,6.037,0.9706,100758.25
0.9863,-0.0757,-0.1567,4.085,6.037,3.598,1.0016,100758.12
0.9785,-0.085,-0.0835,8.78,7.012,3.171,0.9857,100758.15
0.9863,-0.061,-0.0913,2.622,0.976,-1.585,0.9924,100758.54
1.0039,-0.0483,-0.1294,-1.341,6.159,-1.402,1.0134,100758.58
1.0073,-0.0562,-0.1133,-0.183,9.695,0.183,1.0152,100758.27
0.9849,-0.0659,-0.1006,-0.61,2.805,-0.244,0.9922,100758.01
0.9673,-0.0781,-0.1016,-1.951,2.5,-1.341,0.9757,100759.38
0.9902,-0.0732,-0.1001,-0.183,1.402,-2.378,0.998,100759.09
0.9976,-0.0752,-0.1001,0.305,0.244,-1.829,1.0054,100758.91
0.9917,-0.0723,-0.1074,0.549,1.646,-0.976,1.0001,100758.86
0.9922,-0.0703,-0.0996,-0.244,4.268,-0.976,0.9997,100759.42
1.0044,-0.0762,-0.0991,-1.89,1.28,-0.732,1.0121,100759.71
0.998,-0.0781,-0.1016,-3.049,0.0,0.549,1.0062,100758.74
0.9873,-0.0776,-0.1104,-4.878,1.098,-0.061,0.9965,100759.22
0.9966,-0.0786,-0.103,-6.829,2.134,-1.402,1.005,100759.46
1.0107,-0.0781,-0.1089,-5.976,0.915,-0.61,1.0196,100759.89
1.0117,-0.0757,-0.0732,-4.39,0.366,1.585,1.0172,100759.83
1.0098,-0.0801,-0.0767,-8.902,9.085,3.476,1.0158,100759.91
0.9858,-0.0869,-0.0825,-7.439,12.073,5.183,0.9931,100759.85
0.9604,-0.0869,-0.0894,-3.963,6.646,4.573,0.9685,100759.45
0.9756,-0.083,-0.0649,0.61,6.585,0.915,0.9813,100758.62
0.9902,-0.0776,-0.0508,-0.305,6.402,-0.427,0.9946,100758.39
0.9937,-0.0757,-0.0703,-1.768,2.988,0.061,0.999,100758.09
0.9922,-0.0864,-0.0566,-0.549,3.049,0.427,0.9976,100758.49
0.9995,-0.0708,-0.0703,0.488,0.061,0.305,1.0045,100758.05
0.9883,-0.0815,-0.0552,1.159,0.305,1.402,0.9932,100758.44
0.9927,-0.0767,-0.0435,1.463,-1.159,1.22,0.9966,100758.24
0.9976,-0.0747,-0.062,-0.366,-0.793,1.646,1.0023,100757.16
1.0063,-0.0786,-0.0718,0.244,-0.854,1.463,1.012,100758.27
0.9902,-0.0781,-0.063,1.159,-1.585,0.671,0.9953,100759.0
0.9893,-0.064,-0.0464,0.122,-1.646,-0.488,0.9924,100759.16
0.9766,-0.062,-0.0571,-2.561,-0.976,-0.671,0.9802,100759.18
0.9829,-0.0688,-0.0557,-5.366,1.22,-1.829,0.9869,100759.45
0.9893,-0.0742,-0.0522,-5.366,4.024,-2.134,0.9934,100759.54
1.002,-0.0693,-0.0278,-2.073,12.256,-1.951,1.0047,100760.06
0.999,-0.064,-0.0088,-0.854,21.159,-1.159,1.0011,100760.26
0.9854,-0.064,-0.0239,-0.671,19.329,-0.183,0.9877,100760.12
0.9961,-0.0649,-0.0293,0.122,10.427,-0.366,0.9986,100760.15
0.999,-0.0713,-0.02,0.305,4.512,-1.159,1.0018,100760.18
1.0107,-0.0693,-0.0171,1.951,5.061,-1.28,1.0133,100759.58
1.0127,-0.0708,-0.0278,3.171,5.732,0.305,1.0155,100758.9
1.0039,-0.0742,-0.0195,5.122,1.524,0.915,1.0068,100758.51
0.9971,-0.0732,-0.0044,6.768,0.061,1.463,0.9998,100758.45
0.9961,-0.0684,0.0156,6.098,-0.305,1.22,0.9986,100759.25
0.9839,-0.0679,0.0156,3.232,-0.244,0.793,0.9863,100759.0
0.9907,-0.0674,0.0132,1.037,-0.366,0.732,0.9931,100758.95
0.9868,-0.0693,0.0117,-0.305,1.159,0.793,0.9893,100759.15
0.9883,-0.0664,0.0103,-0.488,2.988,0.183,0.9906,100759.3
0.998,-0.0649,0.0068,-1.463,2.927,-0.366,1.0002,100758.69
0.9985,-0.0693,0.0044,-2.683,3.598,-0.244,1.0009,100758.23
1.0005,-0.0659,0.0078,-1.768,3.72,0.183,1.0027,100758.38
0.9971,-0.0635,0.0229,0.366,5.793,0.793,0.9994,100759.55
0.9976,-0.0737,0.0435,4.024,11.951,1.646,1.0012,100759.97
0.9844,-0.0732,0.0557,6.159,14.817,2.622,0.9887,100760.29
1.0,-0.0508,0.0391,3.354,11.402,1.159,1.0021,100760.4
0.9927,-0.0542,0.0376,-1.646,0.793,-1.89,0.9949,100759.99
1.0073,-0.061,0.0244,-2.866,-6.341,-4.634,1.0095,100760.27
1.0034,-0.063,0.0322,-0.976,-7.134,-3.415,1.0059,100760.02
0.9902,-0.0669,0.0312,-0.854,-10.122,-1.768,0.993,100759.44
0.9814,-0.0708,0.041,-0.732,-7.134,0.0,0.9849,100759.02
0.9956,-0.0688,0.0474,3.11,3.963,1.768,0.9991,100759.46
0.9893,-0.0625,0.0269,4.329,4.939,1.098,0.9916,100759.91
0.9932,-0.0601,0.0278,1.159,2.622,0.183,0.9954,100759.85
0.9937,-0.0581,0.0415,0.488,5.061,0.488,0.9962,100759.84
0.9946,-0.0596,0.0376,-0.915,5.732,0.122,0.9971,100759.66
0.9985,-0.0605,0.041,-2.317,3.354,-0.366,1.0012,100759.92
1.0,-0.0596,0.0479,-2.195,3.11,-0.244,1.0029,100759.63
0.9966,-0.0591,0.0498,-2.073,3.476,-0.488,0.9996,100759.69
0.9971,-0.0601,0.0469,-2.012,3.293,-0.488,1.0,100759.96
1.0,-0.0591,0.0464,-1.159,3.11,0.244,1.0028,100760.41
1.0029,-0.062,0.0557,-0.122,2.927,1.037,1.0064,100760.6
0.9951,-0.0635,0.063,1.22,3.841,1.28,0.9991,100760.27
0.9897,-0.0635,0.0659,1.585,2.622,1.22,0.994,100760.26
0.9746,-0.0625,0.0767,0.915,0.671,0.915,0.9796,100759.16
0.9561,-0.0669,0.0977,-0.427,3.598,1.22,0.9634,100758.7
0.9424,-0.0654,0.1226,-0.366,10.671,2.317,0.9526,100759.2
0.9165,-0.0654,0.1533,-0.183,15.854,3.72,0.9315,100759.94
0.8813,-0.0708,0.1694,-2.5,22.073,5.061,0.9003,100760.63
0.8628,-0.0752,0.2041,-2.012,33.415,6.524,0.8898,100760.64
0.8901,-0.0786,0.2227,-2.622,27.683,7.439,0.9209,100759.9
0.916,-0.0718,0.0879,-2.439,14.207,6.951,0.923,100760.3
0.9453,-0.061,0.1504,4.878,16.037,5.0,0.9591,100759.4
