ax,ay,az,gx,gy,gz,avm,pressure
-0.835,-0.0791,-0.5225,31.098,-37.195,7.195,0.9881,100290.74
-0.8618,-0.1577,-0.3999,69.695,36.524,-1.402,0.9631,100289.8
-0.8608,-0.1611,-0.332,56.524,33.232,5.427,0.9366,100288.87
-0.9097,-0.1064,-0.354,30.122,16.22,8.415,0.9819,100288.91
-0.8584,-0.1284,-0.479,21.585,24.146,5.0,0.9914,100288.95
-0.8525,-0.207,-0.5635,25.427,34.146,9.268,1.0427,100289.45
-0.9312,-0.2544,-0.6436,29.085,28.354,21.28,1.1601,100289.34
-1.0029,-0.2466,-0.7104,29.268,13.537,25.122,1.2536,100288.87
-0.853,-0.1543,-0.7095,37.439,12.805,20.427,1.1202,100289.76
-1.0127,-0.104,-0.6274,53.11,15.183,28.11,1.1958,100289.2
-1.1646,-0.0977,-0.0225,80.61,10.793,33.537,1.1689,100288.77
-0.9492,-0.0752,0.1396,42.134,19.024,15.122,0.9624,100288.95
-0.8848,-0.1382,-0.5347,-21.22,9.085,3.902,1.043,100288.95
-0.9707,-0.1187,-0.6914,8.659,-30.671,21.402,1.1977,100289.58
-0.9609,-0.0981,-0.373,50.61,-3.902,29.512,1.0355,100289.31
-0.7275,-0.1797,-0.3247,38.293,38.293,17.073,0.8167,100288.74
-0.6807,-0.1831,-0.4272,22.012,34.268,15.549,0.8242,100288.69
-0.8379,-0.144,-0.4604,17.744,12.744,12.134,0.9669,100287.82
-0.8892,-0.1509,-0.4243,15.366,2.622,-5.305,0.9967,100288.23
-0.8501,-0.1543,-0.4497,-0.854,4.451,-18.415,0.974,100287.33
-0.8428,-0.144,-0.5723,-25.427,22.866,-22.012,1.0288,100287.74
-0.8579,-0.1318,-0.5796,-39.329,29.268,-27.378,1.0437,100287.68
-0.915,-0.1304,-0.5664,-58.415,23.963,-34.939,1.084,100288.02
-0.8379,-0.1846,-0.7461,-80.671,12.927,-49.695,1.137,100287.17
-0.7808,-0.1021,-0.8955,-34.573,-17.439,-29.329,1.1925,100288.3
-1.1006,-0.1782,-0.3779,-9.085,-37.134,-6.707,1.1772,100288.59
-0.9536,-0.2212,-0.0918,-23.293,15.366,-6.22,0.9832,100287.97
-0.6865,-0.3154,-0.2646,-45.854,32.805,-13.598,0.8005,100287.86
-0.9478,-0.2729,-0.4839,-53.78,-24.085,-9.207,1.0986,100287.9
-1.0898,-0.2046,-0.4565,-56.646,-73.415,-26.463,1.1992,100288.67
-0.9385,-0.168,-0.4585,-70.0,-67.134,-44.695,1.0579,100288.86
-0.7446,-0.1279,-0.4458,-67.073,-26.402,-43.598,0.8773,100288.52
-0.7383,-0.103,-0.4116,-61.829,-11.524,-34.024,0.8515,100288.98
-0.8516,-0.1426,-0.3755,-58.171,-12.073,-30.671,0.9415,100288.87
-0.8706,-0.1733,-0.4404,-58.476,-15.366,-30.732,0.9909,100288.77
-0.8525,-0.2051,-0.5894,-55.244,-13.11,-22.683,1.0565,100288.21
-0.8516,-0.2241,-0.6177,-42.866,-0.671,-15.122,1.0756,100287.79
-0.8545,-0.2363,-0.5977,-37.5,10.976,-13.171,1.0692,100287.86
-0.8735,-0.2412,-0.6079,-38.049,23.78,-12.744,1.0912,100288.13
-0.8804,-0.2061,-0.7031,-42.134,22.439,-13.049,1.1454,100288.59
-0.8149,-0.1475,-0.6895,-39.512,14.39,-15.793,1.0776,100288.07
-0.877,-0.1704,-0.6548,-40.0,13.354,-14.024,1.1076,100287.56
-1.1763,-0.2754,-0.4194,-34.085,-5.793,-5.366,1.2788,100288.28
-0.9531,-0.123,-0.2705,-42.256,-0.915,-6.585,0.9984,100288.57
-0.6094,-0.1494,-0.3965,-55.183,7.256,-20.183,0.7422,100289.28
-0.9824,-0.2759,-0.5059,-50.732,3.415,-17.317,1.1389,100289.59
-1.3975,-0.2285,-0.373,-45.122,2.439,-12.927,1.4643,100289.3
-0.6157,-0.144,-0.3989,-64.817,5.61,-60.183,0.7477,100288.09
-0.7354,-0.0942,-0.3359,-74.634,0.427,-55.366,0.8139,100288.06
-0.9204,-0.1284,-0.3823,-96.037,-5.0,-57.805,1.0049,100288.29
-0.9854,-0.1465,-0.4111,-105.793,-22.683,-63.841,1.0777,100287.98
-0.9517,-0.1245,-0.4751,-116.585,-32.561,-67.622,1.0709,100287.01
-0.9419,-0.0938,-0.5376,-124.573,-27.195,-69.207,1.0886,100288.01
-1.019,-0.0557,-0.5088,-127.866,-20.366,-73.902,1.1404,100287.16
-0.9614,-0.0205,-0.4629,-135.488,-2.866,-88.963,1.0673,100287.38
-0.7998,0.0005,-0.5049,-141.098,9.329,-96.89,0.9458,100287.69
-0.7578,0.0142,-0.5093,-136.768,-7.866,-87.744,0.9132,100287.17
-0.7896,-0.0146,-0.5,-127.988,-15.244,-81.402,0.9347,100286.54
-0.7827,-0.063,-0.5161,-123.78,-12.317,-77.073,0.9397,100286.3
-0.8027,-0.0791,-0.5679,-117.622,-9.207,-69.329,0.9865,100287.49
-0.9175,-0.1802,-0.5615,-105.305,-10.061,-64.451,1.0907,100288.21
-1.1836,-0.2778,-0.291,-92.439,-2.378,-53.293,1.2501,100288.09
-1.062,-0.2446,-0.1807,-97.073,25.427,-70.122,1.1047,100287.51
-0.6284,-0.2471,-0.5303,-128.354,-14.39,-93.78,0.8586,100288.41
-0.8574,-0.2104,-0.7437,-120.122,-59.756,-69.207,1.1543,100287.49
-1.061,-0.2222,-0.4521,-88.049,-45.671,-65.305,1.1746,100287.05
-0.8701,-0.2451,-0.3398,-94.146,-21.402,-74.207,0.9658,100286.6
-0.7271,-0.2183,-0.438,-109.085,-26.463,-66.524,0.8764,100287.4
-0.8154,-0.2085,-0.4785,-110.183,-35.915,-56.037,0.9682,100286.63
-0.9209,-0.2129,-0.5015,-108.78,-28.476,-55.427,1.07,100287.4
-0.8765,-0.2178,-0.5225,-106.28,-17.317,-59.146,1.0434,100287.48
-0.8169,-0.1997,-0.5483,-100.732,-6.159,-55.183,1.0039,100287.92
-0.7573,-0.2036,-0.626,-90.122,-0.427,-47.866,1.0034,100288.35
-0.7993,-0.2012,-0.6421,-74.085,-2.317,-35.244,1.0448,100288.8
-0.8599,-0.2222,-0.6377,-64.39,-5.0,-25.366,1.0933,100288.64
-0.8223,-0.2305,-0.7085,-54.878,-9.085,-18.476,1.1096,100288.13
-0.7515,-0.1807,-0.8169,-36.829,-8.72,-7.073,1.1246,100288.12
-0.9878,-0.1724,-0.7456,-7.378,-7.073,9.573,1.2495,100287.5
-1.2212,-0.1782,-0.2183,13.049,-13.049,7.805,1.2533,100287.89
-1.0054,-0.1504,-0.1733,-9.207,-9.878,-11.89,1.0312,100287.92
-0.8735,-0.0991,-0.2866,-21.768,-9.634,-14.634,0.9247,100288.31
-0.918,-0.0137,-0.4585,-24.024,-0.427,-6.951,1.0262,100288.25
-1.0264,-0.0156,-0.5,-10.061,-1.585,1.585,1.1418,100288.55
-0.9985,-0.0063,-0.3003,4.634,1.829,-0.305,1.0427,100289.03
-0.7129,-0.0576,-0.3438,-7.622,7.744,-13.902,0.7935,100288.9
-0.6401,-0.0664,-0.5278,-16.402,4.268,-4.573,0.8323,100288.69
-0.8223,-0.0098,-0.5742,-6.768,-1.768,9.39,1.003,100288.13
-0.915,-0.0503,-0.5718,-2.256,4.939,5.244,1.0802,100288.22
-0.8613,-0.1157,-0.5513,-2.134,27.561,-3.171,1.0292,100288.65
-0.8047,-0.1294,-0.5396,-4.573,43.354,-4.756,0.9774,100288.48
-0.8081,-0.1177,-0.5952,-13.11,45.671,-7.134,1.0105,100288.12
-0.8101,-0.1348,-0.6504,-20.305,41.89,-15.427,1.0476,100288.45
-0.8184,-0.1211,-0.7539,-24.939,38.537,-20.732,1.1193,100288.32
-0.8032,-0.0923,-0.8589,-20.366,35.61,-21.402,1.1796,100287.61
-0.7373,-0.0771,-0.9683,-5.244,26.829,-19.207,1.2195,100287.55
-0.8096,-0.0869,-0.916,23.659,3.11,-7.683,1.2256,100287.3
