ax,ay,az,gx,gy,gz,avm,pressure
1.1626,-0.1836,-0.0298,9.39,-27.012,23.902,1.1774,100753.39
1.186,-0.1509,0.0171,24.268,-30.061,10.671,1.1957,100753.41
1.1895,-0.0566,0.1138,37.012,-25.488,-7.683,1.1962,100752.73
1.3213,-0.1504,-0.019,47.134,5.366,5.183,1.33,100752.95
1.1455,0.0229,0.1006,56.28,7.561,40.183,1.1501,100752.49
1.0186,-0.0186,0.1099,30.61,-5.671,42.622,1.0246,100753.38
0.6875,-0.1924,-0.1812,6.951,-3.598,52.439,0.7365,100753.29
0.8291,-0.1084,-0.1528,22.561,-6.89,21.098,0.85,100752.87
0.7969,-0.1348,-0.1011,22.561,-1.768,30.427,0.8145,100752.81
0.9111,-0.2305,-0.1318,13.902,3.902,30.305,0.949,100752.75
0.939,-0.2773,-0.0635,0.976,-33.415,8.11,0.9811,100752.95
0.9668,-0.2529,-0.1196,-29.268,-42.988,-6.646,1.0065,100752.85
1.0874,-0.271,-0.1929,-37.744,-45.488,-19.512,1.1371,100752.77
1.1577,-0.2051,-0.2051,-38.171,-54.451,-15.244,1.1935,100752.39
1.084,-0.3047,-0.377,-35.915,-35.0,9.451,1.1874,100752.45
1.1309,-0.4937,-0.1045,-4.817,-23.963,-22.561,1.2383,100752.13
1.0303,-0.293,-0.0454,-6.646,-26.098,-33.293,1.0721,100752.21
0.9648,-0.2192,-0.2417,-7.683,0.244,-15.244,1.0185,100752.56
0.7607,-0.2085,-0.2363,11.646,1.768,8.415,0.8234,100753.43
0.606,-0.2065,-0.188,17.561,11.646,9.634,0.6672,100753.6
0.7539,-0.2017,-0.208,11.28,20.854,-0.122,0.8077,100753.24
0.7222,-0.3027,-0.1797,4.329,19.024,6.89,0.8034,100752.34
0.7959,-0.3218,-0.1963,-14.878,10.915,0.061,0.8806,100751.67
0.8774,-0.3008,-0.2588,-29.085,3.72,-6.646,0.963,100752.77
1.2197,-0.2129,-0.1538,17.439,9.268,5.061,1.2477,100753.04
1.0737,0.0576,-0.2368,4.207,-1.463,-1.463,1.101,100752.68
0.9429,-0.0903,-0.2837,24.878,15.854,38.293,0.9888,100752.29
0.7173,-0.0669,-0.1138,26.037,-1.28,30.732,0.7293,100752.73
0.8599,-0.04,-0.2358,-4.573,-2.317,-2.988,0.8925,100752.34
0.8589,-0.0947,-0.3457,-7.256,-4.573,4.817,0.9307,100751.91
0.8262,-0.1821,-0.3027,1.463,-2.073,5.793,0.8985,100752.45
1.0078,-0.2212,-0.2959,-0.061,3.415,-5.427,1.0734,100751.98
1.1938,-0.1968,-0.209,-4.207,-0.366,-8.841,1.2279,100752.25
1.063,-0.2456,-0.2949,-20.366,-18.537,2.378,1.1302,100753.07
1.1172,-0.2847,-0.2524,-11.28,0.671,-9.939,1.1802,100752.7
1.1445,-0.312,-0.1025,-5.0,8.659,-20.732,1.1907,100753.52
0.9775,-0.2041,-0.2383,-18.537,9.085,-13.902,1.0267,100753.2
1.0049,-0.1953,-0.21,-1.098,19.512,-13.841,1.045,100752.68
0.791,-0.228,-0.1553,0.793,7.866,5.122,0.8377,100753.52
0.6592,-0.1709,-0.2109,-9.146,-0.305,3.72,0.7129,100752.92
0.7607,-0.1445,-0.2759,-6.341,6.402,-9.085,0.822,100752.61
1.0024,-0.2212,-0.2163,13.293,15.549,-10.427,1.0491,100752.4
0.981,-0.2256,-0.1855,19.146,4.207,4.085,1.0235,100753.2
0.9956,-0.2227,-0.1943,22.439,-8.841,-0.854,1.0385,100753.52
0.9966,-0.2168,-0.165,27.073,-13.841,3.049,1.0332,100754.16
1.1455,-0.1763,-0.0918,30.854,-7.683,-1.646,1.1626,100754.14
0.9927,-0.1299,-0.0278,22.012,3.841,8.78,1.0015,100752.7
1.022,-0.1445,-0.0835,11.524,15.427,2.622,1.0355,100752.2
1.0591,-0.2866,-0.0391,9.817,35.976,11.463,1.0979,100752.8
0.9185,-0.1958,-0.0845,-16.524,9.878,13.659,0.9429,100752.88
0.8413,-0.1362,-0.2856,-26.89,-1.402,1.829,0.8989,100752.59
0.8525,-0.1333,-0.1797,-8.049,2.5,9.146,0.8814,100752.6
0.7441,-0.1064,-0.165,-17.012,-7.256,14.939,0.7696,100752.63
0.9062,-0.0322,-0.3286,-25.0,2.012,0.366,0.9645,100751.92
1.1699,-0.0845,-0.3101,-4.756,12.134,0.854,1.2133,100752.6
1.0957,-0.252,-0.1831,-0.671,9.878,18.232,1.1391,100753.09
1.3477,-0.292,-0.1055,-15.915,23.293,9.268,1.383,100753.48
1.3315,-0.3521,0.0103,-19.634,0.671,18.232,1.3773,100753.16
0.8174,-0.2173,-0.0239,-37.134,-16.098,31.037,0.8461,100753.05
0.8257,-0.1572,-0.2441,-37.256,-2.195,-1.707,0.8753,100752.37
0.582,-0.189,-0.1987,-14.451,-6.463,7.378,0.6434,100752.34
