ax,ay,az,gx,gy,gz,avm,pressure
0.9268,0.0342,-0.3149,2.256,6.28,2.195,0.9794,100862.12
0.9482,0.0093,-0.3354,7.744,17.5,4.329,1.0059,100863.15
0.979,-0.0112,-0.2397,14.39,25.427,5.122,1.008,100862.7
0.9868,0.0244,-0.1934,5.549,8.598,1.463,1.0059,100861.72
0.9331,0.0303,-0.2642,-1.463,0.0,1.159,0.9702,100861.73
0.9375,0.0098,-0.2417,-0.366,4.939,2.317,0.9682,100862.11
0.9609,0.0,-0.2764,-1.28,1.707,0.122,0.9999,100862.13
0.9756,0.0063,-0.2598,-0.549,2.683,-0.732,1.0096,100861.94
0.9624,0.0083,-0.2476,-0.427,2.256,-0.61,0.9938,100862.02
0.9395,0.0181,-0.2583,-0.427,5.183,-0.366,0.9745,100862.07
0.9331,0.0298,-0.2788,0.366,11.951,-0.976,0.9743,100861.49
0.9326,0.0063,-0.249,2.378,21.098,-2.256,0.9653,100860.34
0.9443,-0.0269,-0.1831,3.476,28.537,-2.866,0.9623,100860.21
0.9683,-0.0317,-0.1519,2.439,28.049,-0.61,0.9806,100861.36
0.9785,-0.0273,-0.1577,1.463,23.11,2.866,0.9915,100860.99
1.0137,-0.0068,-0.1709,3.963,21.098,0.488,1.028,100860.95
1.042,0.0215,-0.1582,10.549,17.012,-4.695,1.0542,100861.41
1.0151,0.0205,-0.1699,12.561,8.476,-3.963,1.0295,100860.52
0.9189,0.0239,-0.2012,9.939,10.244,-2.988,0.941,100861.55
0.8896,0.0981,-0.1772,15.244,19.085,-8.293,0.9124,100861.36
0.9751,0.1675,-0.1221,28.049,20.732,-7.866,0.9969,100860.75
1.0532,0.1274,-0.1353,22.439,20.793,4.695,1.0695,100860.64
1.084,0.0303,-0.1772,10.793,20.122,11.646,1.0988,100861.06
1.0479,0.0337,-0.145,9.329,14.878,4.634,1.0584,100861.51
0.959,0.106,-0.0278,10.427,15.732,0.549,0.9652,100861.48
1.0015,0.0713,-0.042,6.89,10.0,-3.598,1.0049,100861.71
1.02,0.063,-0.0205,7.927,8.598,-5.976,1.0222,100861.75
0.9854,0.021,0.0068,5.488,15.244,-2.256,0.9856,100862.27
0.9565,-0.0244,0.0151,-1.402,17.561,-0.122,0.957,100862.55
0.936,-0.0571,0.0415,-10.61,17.805,0.854,0.9387,100862.01
0.9463,-0.0947,0.0322,-23.232,21.402,2.195,0.9516,100862.2
1.0186,-0.1392,-0.0322,-33.537,26.585,6.89,1.0285,100861.74
1.0845,-0.1172,-0.1699,-29.024,20.061,10.183,1.1039,100862.14
1.1724,-0.0361,-0.1738,-9.512,9.878,10.854,1.1857,100862.53
1.1348,-0.0044,0.0,1.768,-2.988,13.659,1.1348,100861.96
0.9375,-0.0923,-0.0068,-10.061,-12.256,16.768,0.9421,100862.43
0.7935,-0.2031,-0.1045,-21.951,-5.061,16.159,0.8257,100863.27
0.856,-0.1724,-0.1006,-16.829,7.378,10.305,0.8789,100863.75
1.0254,-0.0918,-0.0581,-8.841,18.78,11.524,1.0311,100863.52
1.0723,-0.0767,-0.0518,-1.585,13.049,11.463,1.0762,100862.97
1.0151,-0.0889,-0.1377,1.524,-2.256,-1.22,1.0283,100863.43
1.0142,-0.0317,-0.1699,7.561,-4.329,-11.768,1.0288,100864.02
1.0811,0.0415,-0.1323,14.512,-1.951,-11.098,1.0899,100863.33
1.0884,0.0596,-0.2227,16.951,-12.988,-13.293,1.1125,100863.82
1.125,-0.126,-0.0923,20.61,-26.22,-25.732,1.1358,100864.17
1.3384,-0.4932,0.0728,11.524,-12.012,-21.159,1.4282,100863.72
1.1421,-0.23,0.335,-17.134,-21.22,-0.427,1.2122,100863.36
0.5679,0.1123,0.0132,-29.085,-13.841,-0.549,0.579,100863.0
1.0146,0.0703,0.188,17.561,52.805,20.732,1.0343,100862.82
1.5161,-0.2354,0.1772,-13.476,66.829,9.146,1.5445,100864.05
1.1294,-0.2251,-0.1104,-41.951,-17.012,-35.976,1.1569,100864.88
0.6865,0.144,-0.0781,-12.927,-48.049,-54.207,0.7058,100864.87
0.6108,0.1919,0.0566,-10.305,-5.854,-30.854,0.6428,100864.74
0.8037,0.0107,-0.083,-32.805,30.793,-12.317,0.8081,100864.62
1.0596,0.0352,-0.1982,-25.427,31.829,-7.805,1.0785,100865.64
1.165,0.2261,-0.1128,2.134,4.207,-7.134,1.1921,100865.3
1.0693,0.2563,-0.0254,16.524,-19.085,-3.72,1.0999,100866.14
1.0015,0.0962,-0.165,13.171,-20.427,7.012,1.0195,100866.55
1.0303,-0.0234,-0.2461,11.524,-13.171,21.951,1.0595,100865.36
1.0986,0.1514,-0.0371,20.122,-13.963,27.927,1.1096,100864.71
1.103,0.2461,0.2681,34.939,2.927,23.78,1.1615,100864.73
1.1548,-0.126,0.4668,22.195,14.146,-10.732,1.2519,100863.77
0.9941,-0.3955,0.1621,-15.366,3.72,-15.732,1.0821,100863.63
0.9341,-0.0864,-0.1792,0.915,5.183,6.037,0.955,100863.31
1.1523,0.3228,0.0098,31.098,11.098,22.805,1.1967,100862.45
1.085,0.0942,0.1304,1.159,3.415,28.232,1.0968,100861.66
